date,target_date,actual,forecast,mean_prevailing_pred,horizon,err,err_mean
2021-10-01,2022-04-01,-0.2303988673320787,-0.03262371318753676,0.019513357131788894,6m,-0.19777515414454194,-0.2499122244638676
2022-01-01,2022-07-01,-0.2338810412096418,-0.03681129767341506,0.02020143623608142,6m,-0.19706974353622672,-0.2540824774457232
2022-04-01,2022-10-01,0.014195871637231502,-0.08283629467278572,0.0193258353505298,6m,0.09703216631001722,-0.005129963713298297
2022-07-01,2023-01-01,0.1363237292865078,-0.065000008094712,0.015390854302427912,6m,0.20132373738121978,0.12093287498407988
2022-10-01,2023-04-01,0.14764733600231777,-0.05717141430606799,0.014229835146581458,6m,0.20481875030838576,0.1334175008557363
2023-01-01,2023-07-01,0.042576952945778894,-0.07579717113277218,0.016019988116855434,6m,0.11837412407855108,0.02655696482892346
2023-04-01,2023-10-01,0.06932117906137361,-0.07507984173446537,0.018893000485877293,6m,0.144401020795839,0.05042817857549632
2010-10-01,2011-10-01,-3.1806109956497575e-5,0.07404487496472564,0.01115388046736305,12m,-0.07407668107468214,-0.011185686577319548
2011-01-01,2012-01-01,0.060465330436446404,0.0228420781543492,0.011897648451201946,12m,0.0376232522820972,0.04856768198524446
2011-04-01,2012-04-01,0.030955207548171583,0.018850389318236505,0.011996145785198772,12m,0.012104818229935078,0.01895906176297281
2011-07-01,2012-07-01,0.24163480217279631,-0.05145939174026724,0.011294236291257588,12m,0.29309419391306357,0.23034056588153873
2011-10-01,2012-10-01,0.1258014102553585,-0.06504176205451412,0.008307388870966522,12m,0.1908431723098726,0.11749402138439197
2012-01-01,2013-01-01,0.10805555380604899,-0.06890810182356719,0.008821845585727397,12m,0.1769636556296162,0.0992337082203216
2012-04-01,2013-04-01,0.1648492713995292,-0.07234062512286338,0.010345625441418376,12m,0.23718989652239258,0.15450364595811084
2012-07-01,2013-07-01,0.1546077039538926,-0.07862516772143167,0.007184685492085235,12m,0.23323287167532425,0.14742301846180736
2012-10-01,2013-10-01,0.2592922064940661,-0.07452717855000547,0.006987814035283033,12m,0.33381938504407155,0.25230439245878306
2013-01-01,2014-01-01,0.1766294228364138,-0.06502456724974444,0.006417042661529341,12m,0.24165399008615823,0.17021238017488446
2013-04-01,2014-04-01,0.1991408667668073,-0.028964844445415916,0.005894328965317049,12m,0.22810571121222323,0.19324653780149026
2013-07-01,2014-07-01,0.1594793170804465,0.005729789135304157,0.005805180744221154,12m,0.15374952794514232,0.15367413633622534
2013-10-01,2014-10-01,0.10787310015833211,0.012229313555393868,0.008380817287527789,12m,0.09564378660293824,0.09949228287080432
2014-01-01,2015-01-01,0.09933972650314282,0.020174361456639704,0.006798513372467718,12m,0.07916536504650312,0.0925412131306751
2014-04-01,2015-04-01,0.05115279164166589,-0.03104369711420377,0.006256078120338173,12m,0.08219648875586966,0.044896713521327715
2014-07-01,2015-07-01,-0.026854478170332714,-0.03439236949994947,0.005937915418911708,12m,0.0075378913296167555,-0.03279239358924442
2014-10-01,2015-10-01,-0.007292570763201625,-0.03074021028503733,0.007170337947390184,12m,0.023447639521835706,-0.01446290871059181
2015-01-01,2016-01-01,-0.003948950754886689,-0.039523059566632865,0.005623663218165672,12m,0.03557410881174618,-0.009572613973052362
2015-04-01,2016-04-01,0.01717973524798016,2.2690497593416903e-4,0.0053668453154820835,12m,0.01695283027204599,0.011812889932498075
2015-07-01,2016-07-01,0.12158878854692967,-0.01730579862932216,0.005824727603332536,12m,0.13889458717625183,0.11576406094359713
2015-10-01,2016-10-01,0.09107411914366095,-0.011557411370168578,0.004835404420735809,12m,0.10263153051382953,0.08623871472292514
2016-01-01,2017-01-01,0.1372337242256862,0.028728211216318265,0.007283924225358067,12m,0.10850551300936792,0.12994980000032813
2016-04-01,2017-04-01,0.1437812627420034,-8.289053732076996e-4,0.009564588563738432,12m,0.1446101681152111,0.13421667417826497
2016-07-01,2017-07-01,0.15007532891658662,0.02315248125073793,0.008982117961655389,12m,0.1269228476658487,0.14109321095493124
2016-10-01,2017-10-01,0.1774762511670555,0.025732082351197907,0.01223009105807214,12m,0.15174416881585762,0.16524616010898338
2017-01-01,2018-01-01,0.1112949228552563,0.014609957926061831,0.011131040435008056,12m,0.09668496492919447,0.10016388242024825
2017-04-01,2018-04-01,0.1148568330429242,0.030327715417029544,0.012038728127969037,12m,0.08452911762589466,0.10281810491495516
2017-07-01,2018-07-01,0.1455149008464095,-0.00501883901666142,0.014923631273208409,12m,0.15053373986307092,0.13059126957320108
2017-10-01,2018-10-01,-0.0644026742310401,-0.02276999897505549,0.01880360573828888,12m,-0.0416326752559846,-0.08320627996932897
2018-01-01,2019-01-01,0.070721831669313,-0.04066536669283141,0.018524459950579716,12m,0.11138719836214442,0.05219737171873329
2018-04-01,2019-04-01,0.07897560912141721,-0.07211840413273335,0.018929513498145555,12m,0.15109401325415056,0.06004609562327166
2018-07-01,2019-07-01,0.021308894284209512,-0.08544571415408653,0.01709754890642804,12m,0.10675460843829604,0.004211345377781471
2018-10-01,2019-10-01,0.2536966182087341,-0.058132167027595785,0.017892633111076268,12m,0.3118287852363299,0.23580398509765785
2019-01-01,2020-01-01,-0.09226335196308588,-0.06660803627728833,0.013548978902044534,12m,-0.025655315685797556,-0.10581233086513042
2019-04-01,2020-04-01,0.05248761041024161,-0.0735589742313802,0.015382870446290636,12m,0.12604658464162183,0.03710473996395097
2019-07-01,2020-07-01,0.12200469414244641,-0.0553333896344762,0.015787386865262966,12m,0.17733808377692262,0.10621730727718345
2019-10-01,2020-10-01,0.1506495948942928,-0.06463200515514363,0.0163725181046716,12m,0.21528160004943642,0.1342770767896212
2020-01-01,2021-01-01,0.429926901531869,-0.08597555140255546,0.016341962070964007,12m,0.5159024529344245,0.413584939460905
2020-04-01,2021-04-01,0.32653780277204714,-0.07793948725911004,0.01305920957519329,12m,0.4044772900311572,0.31347859319685384
2020-07-01,2021-07-01,0.24753354274754388,-0.05004907041145997,0.01594042209038433,12m,0.29758261315900386,0.23159312065715956
2020-10-01,2021-10-01,0.23817194746324588,-0.04535414297451113,0.016779786855985735,12m,0.283526090437757,0.22139216060726014
2021-01-01,2022-01-01,0.13131865356294598,-0.01786279921503609,0.01835997638786834,12m,0.14918145277798206,0.11295867717507763
2021-04-01,2022-04-01,-0.12688718012363714,0.004989679610142418,0.018685239619327776,12m,-0.13187685973377955,-0.14557241974296492
2021-07-01,2022-07-01,-0.1834355735896835,-0.03302353411908584,0.020314318164802187,12m,-0.15041203947059764,-0.20374989175448568
2021-10-01,2022-10-01,-0.2162029956948472,-0.036998394842528114,0.019513357131788894,12m,-0.17920460085231907,-0.23571635282663608
2022-01-01,2023-01-01,-0.09755731192313401,-0.051964896107755364,0.02020143623608142,12m,-0.045592415815378644,-0.11775874815921543
2022-04-01,2023-04-01,0.1618432076395493,-0.09348202740677823,0.0193258353505298,12m,0.25532523504632754,0.1425173722890195
2022-07-01,2023-07-01,0.1789006822322867,-0.12308028111116892,0.015390854302427912,12m,0.3019809633434556,0.1635098279298588
2022-10-01,2023-10-01,0.2169685150636914,-0.06148381539243947,0.014229835146581458,12m,0.2784523304561308,0.20273867991710992
